Id,SalePrice
1461,122994.202836228
1462,720256.6325870084
1463,182867.1404363025
1464,208438.30485643927
1465,174989.98390138682
1466,167397.05689169583
1467,186127.7699425887
1468,162604.7676385097
1469,191486.55202372035
1470,119796.20050463846
1471,168987.57831552485
1472,100410.2197954315
1473,96129.69244876961
1474,152083.52766918152
1475,113318.91595091602
1476,356881.51361008966
1477,243385.277404043
1478,297444.6614496316
1479,293461.11646618485
1480,538859.0744129792
1481,329241.5412811347
1482,197272.59939784918
1483,163782.12920550758
1484,152063.51372090724
1485,193158.35083097726
1486,184502.39240632235
1487,340563.0773462959
1488,200505.92783953316
1489,177671.44464738027
1490,248265.16186549253
1491,194018.6804571983
1492,91837.35667784403
1493,178560.3440123384
1494,311730.03101465304
1495,299452.9534945263
1496,232956.78560728408
1497,170076.9647930902
1498,200391.03913782843
1499,172850.04581189566
1500,159977.28769973444
1501,175482.14648450937
1502,150614.32693113177
1503,376858.6108608215
1504,241016.5880878732
1505,224060.76906956386
1506,185672.13997863384
1507,268643.2689648526
1508,215710.9103504699
1509,155433.13360012826
1510,144589.74885201885
1511,176178.03684240772
1512,170900.15921333947
1513,142316.4654695863
1514,184361.33029390313
1515,186678.67246375742
1516,147482.16835296346
1517,213054.50880575326
1518,136686.61856339575
1519,210888.67260064062
1520,132486.64632024753
1521,134710.40004440333
1522,171926.7641726022
1523,115540.59777162252
1524,121690.14331022777
1525,118445.02957912766
1526,116639.07299175774
1527,113465.985606755
1528,137236.51425049777
1529,165562.6749209525
1530,225955.10800985593
1531,114944.80947883637
1532,92226.16979652089
1533,159065.26278204282
1534,120962.12574363884
1535,133323.05322735923
1536,100329.24065117986
1537,56744.00409019027
1538,124496.36805402944
1539,184386.12267461288
1540,78493.19498424362
1541,135530.20971254696
1542,169102.84637634657
1543,185590.7052966996
1544,84532.43572980221
1545,117579.78440788692
1546,147364.77238809832
1547,144833.47047282255
1548,138358.7842814431
1549,124239.46649131343
1550,131626.98841081318
1551,102693.20089648798
1552,136845.74362644632
1553,134255.87144620655
1554,117159.25521953433
1555,154288.56599365803
1556,88940.96475541405
1557,118429.10357437248
1558,99877.11524983859
1559,56932.14952213742
1560,143987.45555632497
1561,127887.0267604019
1562,142523.73039944383
1563,125293.32371416004
1564,168555.25888185532
1565,157200.55221890248
1566,226993.11830422198
1567,80520.68740663129
1568,252989.91086638108
1569,164337.24702059157
1570,132078.15892465424
1571,110438.6058219892
1572,140753.97019825573
1573,230550.14953095355
1574,111726.5687027985
1575,217298.48929344548
1576,254873.48601444057
1577,172537.78654231256
1578,148088.20493211536
1579,147458.68168063284
1580,198269.77466282822
1581,164321.10521959024
1582,129678.15590704443
1583,323694.1474020829
1584,219237.03672810376
1585,139493.15847856092
1586,91295.16112850343
1587,97000.0427001224
1588,146113.0067484209
1589,93432.44799068863
1590,128176.7716784436
1591,85854.21152745263
1592,104061.7859140239
1593,131579.17044367478
